,시간,계정명,당기금액
삼성전자,2020-03-31,유동자산,"186,739,748,000,000"
삼성전자,2020-03-31,비유동자산,"170,717,787,000,000"
삼성전자,2020-03-31,자산총계,"357,457,535,000,000"
삼성전자,2020-03-31,유동부채,"64,763,290,000,000"
삼성전자,2020-03-31,비유동부채,"26,306,522,000,000"
삼성전자,2020-03-31,부채총계,"91,069,812,000,000"
삼성전자,2020-03-31,자본금,"897,514,000,000"
삼성전자,2020-03-31,이익잉여금,"257,078,919,000,000"
삼성전자,2020-03-31,자본총계,"266,387,723,000,000"
삼성전자,2020-03-31,매출액,"55,325,178,000,000"
삼성전자,2020-03-31,영업이익,"6,447,345,000,000"
삼성전자,2020-03-31,법인세차감전 순이익,"6,756,852,000,000"
삼성전자,2020-03-31,당기순이익,"4,884,926,000,000"
삼성전자,2020-03-31,유동자산,"76,640,880,000,000"
삼성전자,2020-03-31,비유동자산,"143,931,511,000,000"
삼성전자,2020-03-31,자산총계,"220,572,391,000,000"
삼성전자,2020-03-31,유동부채,"41,130,269,000,000"
삼성전자,2020-03-31,비유동부채,"2,013,369,000,000"
삼성전자,2020-03-31,부채총계,"43,143,638,000,000"
삼성전자,2020-03-31,자본금,"897,514,000,000"
삼성전자,2020-03-31,이익잉여금,"172,188,829,000,000"
삼성전자,2020-03-31,자본총계,"177,428,753,000,000"
삼성전자,2020-06-30,유동자산,"186,136,845,000,000"
삼성전자,2020-06-30,비유동자산,"171,822,654,000,000"
삼성전자,2020-06-30,자산총계,"357,959,499,000,000"
삼성전자,2020-06-30,유동부채,"61,863,721,000,000"
삼성전자,2020-06-30,비유동부채,"26,287,961,000,000"
삼성전자,2020-06-30,부채총계,"88,151,682,000,000"
삼성전자,2020-06-30,자본금,"897,514,000,000"
삼성전자,2020-06-30,이익잉여금,"260,165,053,000,000"
삼성전자,2020-06-30,자본총계,"269,807,817,000,000"
삼성전자,2020-06-30,매출액,"52,966,142,000,000"
삼성전자,2020-06-30,영업이익,"8,146,292,000,000"
삼성전자,2020-06-30,법인세차감전 순이익,"7,769,697,000,000"
삼성전자,2020-06-30,당기순이익,"5,555,083,000,000"
삼성전자,2020-06-30,유동자산,"71,148,585,000,000"
삼성전자,2020-06-30,비유동자산,"147,048,817,000,000"
삼성전자,2020-06-30,자산총계,"218,197,402,000,000"
삼성전자,2020-06-30,유동부채,"37,215,802,000,000"
삼성전자,2020-06-30,비유동부채,"2,231,155,000,000"
삼성전자,2020-06-30,부채총계,"39,446,957,000,000"
삼성전자,2020-06-30,자본금,"897,514,000,000"
삼성전자,2020-06-30,이익잉여금,"173,306,465,000,000"
삼성전자,2020-06-30,자본총계,"178,750,445,000,000"
삼성전자,2020-09-30,유동자산,"203,634,913,000,000"
삼성전자,2020-09-30,비유동자산,"172,153,829,000,000"
삼성전자,2020-09-30,자산총계,"375,788,742,000,000"
삼성전자,2020-09-30,유동부채,"73,046,405,000,000"
삼성전자,2020-09-30,비유동부채,"26,606,149,000,000"
삼성전자,2020-09-30,부채총계,"99,652,554,000,000"
삼성전자,2020-09-30,자본금,"897,514,000,000"
삼성전자,2020-09-30,이익잉여금,"267,024,912,000,000"
삼성전자,2020-09-30,자본총계,"276,136,188,000,000"
삼성전자,2020-09-30,매출액,"66,964,160,000,000"
삼성전자,2020-09-30,영업이익,"12,353,238,000,000"
삼성전자,2020-09-30,법인세차감전 순이익,"12,844,106,000,000"
삼성전자,2020-09-30,당기순이익,"9,360,693,000,000"
삼성전자,2020-09-30,유동자산,"80,000,498,000,000"
삼성전자,2020-09-30,비유동자산,"148,286,383,000,000"
삼성전자,2020-09-30,자산총계,"228,286,881,000,000"
삼성전자,2020-09-30,유동부채,"44,642,243,000,000"
삼성전자,2020-09-30,비유동부채,"2,057,001,000,000"
삼성전자,2020-09-30,부채총계,"46,699,244,000,000"
삼성전자,2020-09-30,자본금,"897,514,000,000"
삼성전자,2020-09-30,이익잉여금,"176,171,955,000,000"
삼성전자,2020-09-30,자본총계,"181,587,637,000,000"
삼성전자,2020-12-31,유동자산,"198,215,579,000,000"
삼성전자,2020-12-31,비유동자산,"180,020,139,000,000"
삼성전자,2020-12-31,자산총계,"378,235,718,000,000"
삼성전자,2020-12-31,유동부채,"75,604,351,000,000"
삼성전자,2020-12-31,비유동부채,"26,683,351,000,000"
삼성전자,2020-12-31,부채총계,"102,287,702,000,000"
삼성전자,2020-12-31,자본금,"897,514,000,000"
삼성전자,2020-12-31,이익잉여금,"271,068,211,000,000"
삼성전자,2020-12-31,자본총계,"275,948,016,000,000"
삼성전자,2020-12-31,매출액,"236,806,988,000,000"
삼성전자,2020-12-31,영업이익,"35,993,876,000,000"
삼성전자,2020-12-31,법인세차감전 순이익,"36,345,117,000,000"
삼성전자,2020-12-31,당기순이익,"26,407,832,000,000"
삼성전자,2020-12-31,유동자산,"73,798,549,000,000"
삼성전자,2020-12-31,비유동자산,"155,865,878,000,000"
삼성전자,2020-12-31,자산총계,"229,664,427,000,000"
삼성전자,2020-12-31,유동부채,"44,412,904,000,000"
삼성전자,2020-12-31,비유동부채,"1,934,799,000,000"
삼성전자,2020-12-31,부채총계,"46,347,703,000,000"
삼성전자,2020-12-31,자본금,"897,514,000,000"
삼성전자,2020-12-31,이익잉여금,"178,284,102,000,000"
삼성전자,2020-12-31,자본총계,"183,316,724,000,000"
NAVER,2020-03-31,유동자산,"6,533,603,337,706"
NAVER,2020-03-31,비유동자산,"7,232,430,519,335"
NAVER,2020-03-31,자산총계,"13,766,033,857,041"
NAVER,2020-03-31,유동부채,"4,097,111,757,227"
NAVER,2020-03-31,비유동부채,"2,213,685,558,800"
NAVER,2020-03-31,부채총계,"6,310,797,316,027"
