시간,계정명,당기금액
2020-03-31,유동자산,186739748000000
2020-03-31,현금및현금성자산,27916683000000
2020-03-31,단기금융상품,78638015000000
2020-03-31,단기상각후원가금융자산,3037379000000
2020-03-31,단기당기손익-공정가치금융자산,1238759000000
2020-03-31,매출채권,36388583000000
2020-03-31,미수금,3495056000000
2020-03-31,선급금,1465731000000
2020-03-31,선급비용,2961759000000
2020-03-31,재고자산,28454895000000
2020-03-31,기타유동자산,3142888000000
2020-03-31,비유동자산,170717787000000
2020-03-31,기타포괄손익-공정가치금융자산,7513961000000
2020-03-31,당기손익-공정가치금융자산,1065102000000
2020-03-31,관계기업 및 공동기업 투자,7588174000000
2020-03-31,유형자산,121677972000000
2020-03-31,무형자산,20912394000000
2020-03-31,순확정급여자산,434417000000
2020-03-31,이연법인세자산,4690045000000
2020-03-31,기타비유동자산,6835722000000
2020-03-31,자산총계,357457535000000
2020-03-31,유동부채,64763290000000
2020-03-31,매입채무,10722455000000
2020-03-31,단기차입금,11607088000000
2020-03-31,미지급금,12962612000000
2020-03-31,선수금,959903000000
2020-03-31,예수금,865785000000
2020-03-31,미지급비용,18468757000000
2020-03-31,당기법인세부채,2608414000000
2020-03-31,유동성장기부채,834474000000
2020-03-31,충당부채,4648735000000
2020-03-31,기타유동부채,1085067000000
2020-03-31,비유동부채,26306522000000
2020-03-31,사채,1020729000000
2020-03-31,장기차입금,2202901000000
2020-03-31,장기미지급금,2100439000000
2020-03-31,순확정급여부채,506578000000
2020-03-31,이연법인세부채,17398010000000
2020-03-31,장기충당부채,641753000000
2020-03-31,기타비유동부채,2436112000000
2020-03-31,부채총계,91069812000000
2020-03-31,지배기업 소유주지분,258481770000000
2020-03-31,자본금,897514000000
2020-03-31,우선주자본금,119467000000
2020-03-31,보통주자본금,778047000000
2020-03-31,주식발행초과금,4403893000000
2020-03-31,이익잉여금(결손금),257078919000000
2020-03-31,기타자본항목,-3898556000000
2020-03-31,비지배지분,7905953000000
2020-03-31,자본총계,266387723000000
2020-03-31,부채와자본총계,357457535000000
2020-03-31,수익(매출액),55325178000000
2020-03-31,매출원가,34806694000000
2020-03-31,매출총이익,20518484000000
2020-03-31,판매비와관리비,14071139000000
2020-03-31,영업이익,6447345000000
2020-03-31,기타수익,315506000000
2020-03-31,기타비용,364055000000
2020-03-31,지분법이익,60644000000
2020-03-31,금융수익,3791378000000
2020-03-31,금융비용,3493966000000
2020-03-31,법인세비용차감전순이익(손실),6756852000000
2020-03-31,법인세비용,1871926000000
2020-03-31,계속영업이익(손실),4884926000000
2020-03-31,당기순이익(손실),4884926000000
2020-03-31,지배기업의 소유주에게 귀속되는 당기순이익(손실),4889599000000
2020-03-31,비지배지분에 귀속되는 당기순이익(손실),-4673000000
2020-03-31,기본주당이익(손실),720
2020-03-31,희석주당이익(손실),720
2020-03-31,당기순이익(손실),4884926000000
2020-03-31,기타포괄손익,1039168000000
2020-03-31,후속적으로 당기손익으로 재분류되지 않는 포괄손익,-1189281000000
2020-03-31,기타포괄손익-공정가치금융자산평가손익,-1109611000000
2020-03-31,관계기업 및 공동기업의 기타포괄손익에 대한 지분,-46974000000
2020-03-31,순확정급여부채 재측정요소,-32696000000
2020-03-31,후속적으로 당기손익으로 재분류되는 포괄손익,2228449000000
2020-03-31,관계기업 및 공동기업의 기타포괄손익에 대한 지분,28944000000
2020-03-31,해외사업장환산외환차이,2228543000000
2020-03-31,현금흐름위험회피파생상품평가손익,-29038000000
2020-03-31,총포괄손익,5924094000000
2020-03-31,지배기업 소유주지분,5971500000000
2020-03-31,비지배지분,-47406000000
2020-06-30,유동자산,186136845000000
2020-06-30,현금및현금성자산,36109613000000
2020-06-30,단기금융상품,75127611000000
2020-06-30,단기상각후원가금융자산,1224565000000
2020-06-30,단기당기손익-공정가치금융자산,582641000000
2020-06-30,매출채권,32989762000000
2020-06-30,미수금,3702782000000
2020-06-30,선급금,1486402000000
2020-06-30,선급비용,2572807000000
2020-06-30,재고자산,29645529000000
2020-06-30,기타유동자산,2695133000000
2020-06-30,비유동자산,171822654000000
2020-06-30,기타포괄손익-공정가치금융자산,9511923000000
2020-06-30,당기손익-공정가치금융자산,1128261000000
2020-06-30,관계기업 및 공동기업 투자,7693878000000
2020-06-30,유형자산,124294578000000
2020-06-30,무형자산,19608254000000
2020-06-30,순확정급여자산,184409000000
2020-06-30,이연법인세자산,4441779000000
2020-06-30,기타비유동자산,4959572000000
2020-06-30,자산총계,357959499000000
2020-06-30,유동부채,61863721000000
2020-06-30,매입채무,9545977000000
2020-06-30,단기차입금,12776348000000
2020-06-30,미지급금,10076985000000
2020-06-30,선수금,956376000000
2020-06-30,예수금,840737000000
2020-06-30,미지급비용,17803662000000
2020-06-30,당기법인세부채,3334471000000
2020-06-30,유동성장기부채,788871000000
2020-06-30,충당부채,4743028000000
2020-06-30,기타유동부채,997266000000
2020-06-30,비유동부채,26287961000000
2020-06-30,사채,1010166000000
2020-06-30,장기차입금,2109366000000
2020-06-30,장기미지급금,1986768000000
2020-06-30,순확정급여부채,531556000000
2020-06-30,이연법인세부채,17602407000000
2020-06-30,장기충당부채,867382000000
2020-06-30,기타비유동부채,2180316000000
2020-06-30,부채총계,88151682000000
2020-06-30,지배기업 소유주지분,261745365000000
2020-06-30,자본금,897514000000
2020-06-30,우선주자본금,119467000000
2020-06-30,보통주자본금,778047000000
2020-06-30,주식발행초과금,4403893000000
2020-06-30,이익잉여금(결손금),260165053000000
2020-06-30,기타자본항목,-3721095000000
2020-06-30,비지배지분,8062452000000
2020-06-30,자본총계,269807817000000
2020-06-30,부채와자본총계,357959499000000
2020-06-30,수익(매출액),52966142000000
2020-06-30,매출원가,31906198000000
2020-06-30,매출총이익,21059944000000
2020-06-30,판매비와관리비,12913652000000
2020-06-30,영업이익,8146292000000
2020-06-30,기타수익,290279000000
2020-06-30,기타비용,1060839000000
2020-06-30,지분법이익,86222000000
2020-06-30,금융수익,1769583000000
2020-06-30,금융비용,1461840000000
2020-06-30,법인세비용차감전순이익(손실),7769697000000
2020-06-30,법인세비용,2214614000000
2020-06-30,계속영업이익(손실),5555083000000
2020-06-30,당기순이익(손실),5555083000000
2020-06-30,지배기업의 소유주에게 귀속되는 당기순이익(손실),5488964000000
2020-06-30,비지배지분에 귀속되는 당기순이익(손실),66119000000
2020-06-30,기본주당이익(손실),808
2020-06-30,희석주당이익(손실),808
2020-06-30,당기순이익(손실),5555083000000
2020-06-30,기타포괄손익,256034000000
2020-06-30,후속적으로 당기손익으로 재분류되지 않는 포괄손익,1516017000000
2020-06-30,기타포괄손익-공정가치금융자산평가손익,1498950000000
2020-06-30,관계기업 및 공동기업의 기타포괄손익에 대한 지분,21823000000
2020-06-30,순확정급여부채 재측정요소,-4756000000
2020-06-30,후속적으로 당기손익으로 재분류되는 포괄손익,-1259983000000
2020-06-30,관계기업 및 공동기업의 기타포괄손익에 대한 지분,-4661000000
2020-06-30,해외사업장환산외환차이,-1259232000000
2020-06-30,현금흐름위험회피파생상품평가손익,3910000000
2020-06-30,총포괄손익,5811117000000
2020-06-30,지배기업 소유주지분,5673105000000
2020-06-30,비지배지분,138012000000
2020-09-30,유동자산,203634913000000
2020-09-30,현금및현금성자산,26566097000000
2020-09-30,단기금융상품,89694025000000
2020-09-30,단기상각후원가금융자산,1684068000000
2020-09-30,단기당기손익-공정가치금융자산,596122000000
2020-09-30,매출채권,40379873000000
2020-09-30,미수금,3600224000000
2020-09-30,선급금,1548872000000
2020-09-30,선급비용,2764979000000
2020-09-30,재고자산,32442857000000
2020-09-30,기타유동자산,3225556000000
2020-09-30,매각예정분류자산,1132240000000
2020-09-30,비유동자산,172153829000000
2020-09-30,기타포괄손익-공정가치금융자산,10744456000000
2020-09-30,당기손익-공정가치금융자산,1299256000000
2020-09-30,관계기업 및 공동기업 투자,7982462000000
2020-09-30,유형자산,124777408000000
2020-09-30,무형자산,18980799000000
2020-09-30,순확정급여자산,8220000000
2020-09-30,이연법인세자산,4478036000000
2020-09-30,기타비유동자산,3883192000000
2020-09-30,자산총계,375788742000000
2020-09-30,유동부채,73046405000000
2020-09-30,매입채무,11688180000000
2020-09-30,단기차입금,15856252000000
2020-09-30,미지급금,10187472000000
2020-09-30,선수금,1153605000000
2020-09-30,예수금,946591000000
2020-09-30,미지급비용,21703839000000
2020-09-30,당기법인세부채,4660113000000
2020-09-30,유동성장기부채,754610000000
2020-09-30,충당부채,4638290000000
2020-09-30,기타유동부채,1056017000000
2020-09-30,매각예정분류부채,401436000000
2020-09-30,비유동부채,26606149000000
2020-09-30,사채,997764000000
2020-09-30,장기차입금,2017847000000
2020-09-30,장기미지급금,1830595000000
2020-09-30,순확정급여부채,628175000000
2020-09-30,이연법인세부채,18362110000000
2020-09-30,장기충당부채,813492000000
2020-09-30,기타비유동부채,1956166000000
2020-09-30,부채총계,99652554000000
2020-09-30,지배기업 소유주지분,267942140000000
2020-09-30,자본금,897514000000
2020-09-30,우선주자본금,119467000000
2020-09-30,보통주자본금,778047000000
2020-09-30,주식발행초과금,4403893000000
2020-09-30,이익잉여금(결손금),267024912000000
2020-09-30,기타자본항목,-4398825000000
2020-09-30,매각예정분류기타자본항목,14646000000
2020-09-30,비지배지분,8194048000000
2020-09-30,자본총계,276136188000000
2020-09-30,부채와자본총계,375788742000000
2020-09-30,수익(매출액),66964160000000
2020-09-30,매출원가,39970476000000
2020-09-30,매출총이익,26993684000000
2020-09-30,판매비와관리비,14640446000000
2020-09-30,영업이익,12353238000000
2020-09-30,기타수익,495382000000
2020-09-30,기타비용,436883000000
2020-09-30,지분법이익,225585000000
2020-09-30,금융수익,2328991000000
2020-09-30,금융비용,2122207000000
2020-09-30,법인세비용차감전순이익(손실),12844106000000
2020-09-30,법인세비용,3483413000000
2020-09-30,계속영업이익(손실),9360693000000
2020-09-30,당기순이익(손실),9360693000000
2020-09-30,지배기업의 소유주에게 귀속되는 당기순이익(손실),9266814000000
2020-09-30,비지배지분에 귀속되는 당기순이익(손실),93879000000
2020-09-30,기본주당이익(손실),1364
2020-09-30,희석주당이익(손실),1364
2020-09-30,당기순이익(손실),9360693000000
2020-09-30,기타포괄손익,-588515000000
2020-09-30,후속적으로 당기손익으로 재분류되지 않는 포괄손익,758700000000
2020-09-30,기타포괄손익-공정가치금융자산평가손익,773032000000
2020-09-30,관계기업 및 공동기업의 기타포괄손익에 대한 지분,-6345000000
2020-09-30,순확정급여부채(자산) 재측정요소,-7987000000
2020-09-30,후속적으로 당기손익으로 재분류되는 포괄손익,-1347215000000
2020-09-30,관계기업 및 공동기업의 기타포괄손익에 대한 지분,-15349000000
2020-09-30,해외사업장환산외환차이,-1329770000000
2020-09-30,현금흐름위험회피파생상품평가손익,-2096000000
2020-09-30,총포괄손익,8772178000000
2020-09-30,지배기업 소유주지분,8601269000000
2020-09-30,비지배지분,170909000000
2020-12-31,유동자산,198215579000000
2020-12-31,현금및현금성자산,29382578000000
2020-12-31,단기금융상품,92441703000000
2020-12-31,단기상각후원가금융자산,2757111000000
2020-12-31,단기당기손익-공정가치금융자산,71451000000
2020-12-31,매출채권,30965058000000
2020-12-31,미수금,3604539000000
2020-12-31,선급비용,2266100000000
2020-12-31,재고자산,32043145000000
2020-12-31,기타유동자산,3754462000000
2020-12-31,매각예정분류자산,929432000000
2020-12-31,비유동자산,180020139000000
2020-12-31,상각후원가금융자산,0
2020-12-31,기타포괄손익-공정가치금융자산,12575216000000
2020-12-31,당기손익-공정가치금융자산,1202969000000
2020-12-31,관계기업 및 공동기업 투자,8076779000000
2020-12-31,유형자산,128952892000000
2020-12-31,무형자산,18468502000000
2020-12-31,순확정급여자산,1355502000000
2020-12-31,이연법인세자산,4275000000000
2020-12-31,기타비유동자산,5113279000000
2020-12-31,자산총계,378235718000000
2020-12-31,유동부채,75604351000000
2020-12-31,매입채무,9739222000000
2020-12-31,단기차입금,16553429000000
2020-12-31,미지급금,11899022000000
2020-12-31,선수금,1145423000000
2020-12-31,예수금,974521000000
2020-12-31,미지급비용,24330339000000
2020-12-31,당기법인세부채,4430272000000
2020-12-31,유동성장기부채,716099000000
2020-12-31,충당부채,4349563000000
2020-12-31,기타유동부채,1127719000000
2020-12-31,매각예정분류부채,338742000000
2020-12-31,비유동부채,26683351000000
2020-12-31,사채,948137000000
2020-12-31,장기차입금,1999716000000
2020-12-31,장기미지급금,1682910000000
2020-12-31,순확정급여부채,464458000000
2020-12-31,이연법인세부채,18810845000000
2020-12-31,장기충당부채,1051428000000
2020-12-31,기타비유동부채,1725857000000
2020-12-31,부채총계,102287702000000
2020-12-31,지배기업 소유주지분,267670331000000
2020-12-31,자본금,897514000000
2020-12-31,우선주자본금,119467000000
2020-12-31,보통주자본금,778047000000
2020-12-31,주식발행초과금,4403893000000
2020-12-31,이익잉여금(결손금),271068211000000
2020-12-31,기타자본항목,-8687155000000
2020-12-31,매각예정분류기타자본항목,-12132000000
2020-12-31,비지배지분,8277685000000
2020-12-31,자본총계,275948016000000
