,접수번호,보고서코드,사업연도,회사코드,종목코드,개별/연결구분,개별/연결명,재무제표구분,재무제표명,계정명,당기명,당기일자,당기금액,전기명,전기일자,전기금액,전전기명,전전기일자,전전기금액,계정과목 정렬순서
0,20210316000986,11011,2020,00164742,005380,CFS,연결재무제표,BS,재무상태표,유동자산,제 53 기,2020.12.31 현재,"83,686,357,000,000",제 52 기,2019.12.31 현재,"76,082,873,000,000",제 51 기,2018.12.31 현재,"73,008,101,000,000",1
1,20210316000986,11011,2020,00164742,005380,CFS,연결재무제표,BS,재무상태표,비유동자산,제 53 기,2020.12.31 현재,"125,657,855,000,000",제 52 기,2019.12.31 현재,"118,429,347,000,000",제 51 기,2018.12.31 현재,"107,647,651,000,000",3
2,20210316000986,11011,2020,00164742,005380,CFS,연결재무제표,BS,재무상태표,자산총계,제 53 기,2020.12.31 현재,"209,344,212,000,000",제 52 기,2019.12.31 현재,"194,512,220,000,000",제 51 기,2018.12.31 현재,"180,655,752,000,000",5
3,20210316000986,11011,2020,00164742,005380,CFS,연결재무제표,BS,재무상태표,유동부채,제 53 기,2020.12.31 현재,"59,459,528,000,000",제 52 기,2019.12.31 현재,"53,314,096,000,000",제 51 기,2018.12.31 현재,"49,438,414,000,000",7
4,20210316000986,11011,2020,00164742,005380,CFS,연결재무제표,BS,재무상태표,비유동부채,제 53 기,2020.12.31 현재,"73,543,714,000,000",제 52 기,2019.12.31 현재,"64,832,370,000,000",제 51 기,2018.12.31 현재,"57,321,328,000,000",9
5,20210316000986,11011,2020,00164742,005380,CFS,연결재무제표,BS,재무상태표,부채총계,제 53 기,2020.12.31 현재,"133,003,242,000,000",제 52 기,2019.12.31 현재,"118,146,466,000,000",제 51 기,2018.12.31 현재,"106,759,742,000,000",11
6,20210316000986,11011,2020,00164742,005380,CFS,연결재무제표,BS,재무상태표,자본금,제 53 기,2020.12.31 현재,"1,488,993,000,000",제 52 기,2019.12.31 현재,"1,488,993,000,000",제 51 기,2018.12.31 현재,"1,488,993,000,000",13
7,20210316000986,11011,2020,00164742,005380,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 53 기,2020.12.31 현재,"68,911,800,000,000",제 52 기,2019.12.31 현재,"68,249,633,000,000",제 51 기,2018.12.31 현재,"66,490,082,000,000",17
8,20210316000986,11011,2020,00164742,005380,CFS,연결재무제표,BS,재무상태표,자본총계,제 53 기,2020.12.31 현재,"76,340,970,000,000",제 52 기,2019.12.31 현재,"76,365,754,000,000",제 51 기,2018.12.31 현재,"73,896,010,000,000",21
9,20210316000986,11011,2020,00164742,005380,CFS,연결재무제표,IS,손익계산서,매출액,제 53 기,2020.01.01 ~ 2020.12.31,"103,997,601,000,000",제 52 기,2019.01.01 ~ 2019.12.31,"105,746,422,000,000",제 51 기,2018.01.01 ~ 2018.12.31,"96,812,609,000,000",23
10,20210316000986,11011,2020,00164742,005380,CFS,연결재무제표,IS,손익계산서,영업이익,제 53 기,2020.01.01 ~ 2020.12.31,"2,394,671,000,000",제 52 기,2019.01.01 ~ 2019.12.31,"3,605,505,000,000",제 51 기,2018.01.01 ~ 2018.12.31,"2,422,165,000,000",25
11,20210316000986,11011,2020,00164742,005380,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 53 기,2020.01.01 ~ 2020.12.31,"2,093,256,000,000",제 52 기,2019.01.01 ~ 2019.12.31,"4,163,766,000,000",제 51 기,2018.01.01 ~ 2018.12.31,"2,529,582,000,000",27
12,20210316000986,11011,2020,00164742,005380,OFS,재무제표,BS,재무상태표,유동자산,제 53 기,2020.12.31 현재,"24,612,104,000,000",제 52 기,2019.12.31 현재,"22,346,792,000,000",제 51 기,2018.12.31 현재,"22,325,069,000,000",2
13,20210316000986,11011,2020,00164742,005380,OFS,재무제표,BS,재무상태표,비유동자산,제 53 기,2020.12.31 현재,"54,038,579,000,000",제 52 기,2019.12.31 현재,"51,810,427,000,000",제 51 기,2018.12.31 현재,"47,417,439,000,000",4
14,20210316000986,11011,2020,00164742,005380,OFS,재무제표,BS,재무상태표,자산총계,제 53 기,2020.12.31 현재,"78,650,683,000,000",제 52 기,2019.12.31 현재,"74,157,219,000,000",제 51 기,2018.12.31 현재,"69,742,508,000,000",6
15,20210316000986,11011,2020,00164742,005380,OFS,재무제표,BS,재무상태표,유동부채,제 53 기,2020.12.31 현재,"17,709,438,000,000",제 52 기,2019.12.31 현재,"15,148,868,000,000",제 51 기,2018.12.31 현재,"12,737,313,000,000",8
16,20210316000986,11011,2020,00164742,005380,OFS,재무제표,BS,재무상태표,비유동부채,제 53 기,2020.12.31 현재,"7,354,342,000,000",제 52 기,2019.12.31 현재,"5,089,342,000,000",제 51 기,2018.12.31 현재,"4,429,408,000,000",10
17,20210316000986,11011,2020,00164742,005380,OFS,재무제표,BS,재무상태표,부채총계,제 53 기,2020.12.31 현재,"25,063,780,000,000",제 52 기,2019.12.31 현재,"20,238,210,000,000",제 51 기,2018.12.31 현재,"17,166,721,000,000",12
18,20210316000986,11011,2020,00164742,005380,OFS,재무제표,BS,재무상태표,자본금,제 53 기,2020.12.31 현재,"1,488,993,000,000",제 52 기,2019.12.31 현재,"1,488,993,000,000",제 51 기,2018.12.31 현재,"1,488,993,000,000",15
19,20210316000986,11011,2020,00164742,005380,OFS,재무제표,BS,재무상태표,이익잉여금,제 53 기,2020.12.31 현재,"49,631,113,000,000",제 52 기,2019.12.31 현재,"49,870,324,000,000",제 51 기,2018.12.31 현재,"48,137,551,000,000",19
20,20210316000986,11011,2020,00164742,005380,OFS,재무제표,BS,재무상태표,자본총계,제 53 기,2020.12.31 현재,"53,586,903,000,000",제 52 기,2019.12.31 현재,"53,919,009,000,000",제 51 기,2018.12.31 현재,"52,575,787,000,000",22
21,20210316000986,11011,2020,00164742,005380,OFS,재무제표,IS,손익계산서,매출액,제 53 기,2020.01.01 ~ 2020.12.31,"50,661,002,000,000",제 52 기,2019.01.01 ~ 2019.12.31,"49,155,693,000,000",제 51 기,2018.01.01 ~ 2018.12.31,"43,160,108,000,000",24
22,20210316000986,11011,2020,00164742,005380,OFS,재무제표,IS,손익계산서,영업이익,제 53 기,2020.01.01 ~ 2020.12.31,"768,626,000,000",제 52 기,2019.01.01 ~ 2019.12.31,"1,580,164,000,000",제 51 기,2018.01.01 ~ 2018.12.31,"-59,322,000,000",26
