시간,계정명,삼성전자
2016-03-31,유동자산,"126,587,169,000,000"
2016-03-31,비유동자산,"114,652,620,000,000"
2016-03-31,자산총계,"241,239,789,000,000"
2016-03-31,유동부채,"49,049,500,000,000"
2016-03-31,비유동부채,"13,864,103,000,000"
2016-03-31,부채총계,"62,913,603,000,000"
2016-03-31,이익잉여금,"183,218,614,000,000"
2016-03-31,자본총계,"178,326,186,000,000"
2016-03-31,매출액,"49,782,252,000,000"
2016-03-31,영업이익,"6,675,812,000,000"
2016-03-31,법인세차감전 순이익,"7,122,485,000,000"
2016-03-31,당기순이익,"5,252,803,000,000"
2016-06-30,유동자산,"130,163,049,000,000"
2016-06-30,비유동자산,"113,797,624,000,000"
2016-06-30,자산총계,"243,960,673,000,000"
2016-06-30,유동부채,"48,008,164,000,000"
2016-06-30,비유동부채,"14,109,993,000,000"
2016-06-30,부채총계,"62,118,157,000,000"
2016-06-30,이익잉여금,"185,920,488,000,000"
2016-06-30,자본총계,"181,842,516,000,000"
2016-06-30,매출액,"50,937,120,000,000"
2016-06-30,영업이익,"8,143,950,000,000"
2016-06-30,법인세차감전 순이익,"8,071,959,000,000"
2016-06-30,당기순이익,"5,847,393,000,000"
2016-09-30,유동자산,"132,166,769,000,000"
2016-09-30,비유동자산,"112,304,687,000,000"
2016-09-30,자산총계,"244,471,456,000,000"
2016-09-30,유동부채,"50,459,481,000,000"
2016-09-30,비유동부채,"14,475,596,000,000"
2016-09-30,부채총계,"64,935,077,000,000"
2016-09-30,이익잉여금,"186,169,137,000,000"
2016-09-30,자본총계,"179,536,379,000,000"
2016-09-30,매출액,"47,815,633,000,000"
2016-09-30,영업이익,"5,200,089,000,000"
2016-09-30,법인세차감전 순이익,"5,970,702,000,000"
2016-09-30,당기순이익,"4,537,855,000,000"
2016-12-31,유동자산,"141,429,704,000,000"
2016-12-31,비유동자산,"120,744,620,000,000"
2016-12-31,자산총계,"262,174,324,000,000"
2016-12-31,유동부채,"54,704,095,000,000"
2016-12-31,비유동부채,"14,507,196,000,000"
2016-12-31,부채총계,"69,211,291,000,000"
2016-12-31,이익잉여금,"193,086,317,000,000"
2016-12-31,자본총계,"192,963,033,000,000"
2016-12-31,매출액,"201,866,745,000,000"
2016-12-31,영업이익,"29,240,672,000,000"
2016-12-31,법인세차감전 순이익,"30,713,652,000,000"
2016-12-31,당기순이익,"22,726,092,000,000"
2017-03-31,유동자산,"129,284,204,000,000"
2017-03-31,비유동자산,"134,933,168,000,000"
2017-03-31,자산총계,"264,217,372,000,000"
2017-03-31,유동부채,"56,843,132,000,000"
2017-03-31,비유동부채,"17,556,285,000,000"
2017-03-31,부채총계,"74,399,417,000,000"
2017-03-31,이익잉여금,"196,724,497,000,000"
2017-03-31,자본총계,"189,817,955,000,000"
2017-03-31,매출액,"50,547,526,000,000"
2017-03-31,영업이익,"9,898,361,000,000"
2017-03-31,법인세차감전 순이익,"10,164,576,000,000"
2017-03-31,당기순이익,"7,684,354,000,000"
2017-06-30,유동자산,"132,172,681,000,000"
2017-06-30,비유동자산,"145,416,755,000,000"
2017-06-30,자산총계,"277,589,436,000,000"
2017-06-30,유동부채,"58,468,431,000,000"
2017-06-30,비유동부채,"18,415,257,000,000"
2017-06-30,부채총계,"76,883,688,000,000"
2017-06-30,이익잉여금,"199,223,959,000,000"
2017-06-30,자본총계,"200,705,748,000,000"
2017-06-30,매출액,"61,000,537,000,000"
2017-06-30,영업이익,"14,066,547,000,000"
2017-06-30,법인세차감전 순이익,"14,412,265,000,000"
2017-06-30,당기순이익,"11,053,851,000,000"
2017-09-30,유동자산,"145,322,337,000,000"
2017-09-30,비유동자산,"151,256,242,000,000"
2017-09-30,자산총계,"296,578,579,000,000"
2017-09-30,유동부채,"66,172,585,000,000"
2017-09-30,비유동부채,"19,714,743,000,000"
2017-09-30,부채총계,"85,887,328,000,000"
2017-09-30,자본금,"897,514,000,000"
2017-09-30,이익잉여금,"206,773,005,000,000"
2017-09-30,자본총계,"210,691,251,000,000"
2017-09-30,매출액,"62,048,901,000,000"
2017-09-30,영업이익,"14,533,159,000,000"
2017-09-30,법인세차감전 순이익,"14,914,740,000,000"
2017-09-30,당기순이익,"11,193,411,000,000"
2017-12-31,유동자산,"146,982,464,000,000"
2017-12-31,비유동자산,"154,769,626,000,000"
2017-12-31,자산총계,"301,752,090,000,000"
2017-12-31,유동부채,"67,175,114,000,000"
2017-12-31,비유동부채,"20,085,548,000,000"
2017-12-31,부채총계,"87,260,662,000,000"
2017-12-31,자본금,"897,514,000,000"
2017-12-31,이익잉여금,"215,811,200,000,000"
2017-12-31,자본총계,"214,491,428,000,000"
2017-12-31,매출액,"239,575,376,000,000"
2017-12-31,영업이익,"53,645,038,000,000"
2017-12-31,법인세차감전 순이익,"56,195,967,000,000"
2017-12-31,당기순이익,"42,186,747,000,000"
2018-03-31,유동자산,"154,941,953,000,000"
2018-03-31,비유동자산,"157,531,160,000,000"
2018-03-31,자산총계,"312,473,113,000,000"
2018-03-31,유동부채,"68,298,586,000,000"
2018-03-31,비유동부채,"20,914,647,000,000"
2018-03-31,부채총계,"89,213,233,000,000"
2018-03-31,자본금,"897,514,000,000"
2018-03-31,이익잉여금,"222,485,398,000,000"
2018-03-31,자본총계,"223,259,880,000,000"
2018-03-31,매출액,"60,563,714,000,000"
2018-03-31,영업이익,"15,642,170,000,000"
2018-03-31,법인세차감전 순이익,"16,175,907,000,000"
2018-03-31,당기순이익,"11,688,544,000,000"
2018-06-30,유동자산,"156,976,839,000,000"
2018-06-30,비유동자산,"161,711,541,000,000"
2018-06-30,자산총계,"318,688,380,000,000"
2018-06-30,유동부채,"65,602,323,000,000"
2018-06-30,비유동부채,"19,961,212,000,000"
2018-06-30,부채총계,"85,563,535,000,000"
2018-06-30,자본금,"897,514,000,000"
2018-06-30,이익잉여금,"231,065,173,000,000"
2018-06-30,자본총계,"233,124,845,000,000"
2018-06-30,매출액,"58,482,658,000,000"
2018-06-30,영업이익,"14,869,035,000,000"
2018-06-30,법인세차감전 순이익,"15,406,836,000,000"
2018-06-30,당기순이익,"11,043,412,000,000"
2018-09-30,유동자산,"176,282,049,000,000"
2018-09-30,비유동자산,"160,913,737,000,000"
2018-09-30,자산총계,"337,195,786,000,000"
2018-09-30,유동부채,"74,705,872,000,000"
2018-09-30,비유동부채,"20,386,754,000,000"
2018-09-30,부채총계,"95,092,626,000,000"
2018-09-30,자본금,"897,514,000,000"
2018-09-30,이익잉여금,"241,628,322,000,000"
2018-09-30,자본총계,"242,103,160,000,000"
2018-09-30,매출액,"65,459,993,000,000"
2018-09-30,영업이익,"17,574,865,000,000"
2018-09-30,법인세차감전 순이익,"17,969,344,000,000"
2018-09-30,당기순이익,"13,150,715,000,000"
2018-12-31,유동자산,"174,697,424,000,000"
2018-12-31,비유동자산,"164,659,820,000,000"
2018-12-31,자산총계,"339,357,244,000,000"
2018-12-31,유동부채,"69,081,510,000,000"
2018-12-31,비유동부채,"22,522,557,000,000"
2018-12-31,부채총계,"91,604,067,000,000"
2018-12-31,자본금,"897,514,000,000"
2018-12-31,이익잉여금,"242,698,956,000,000"
2018-12-31,자본총계,"247,753,177,000,000"
2018-12-31,매출액,"243,771,415,000,000"
2018-12-31,영업이익,"58,886,669,000,000"
2018-12-31,법인세차감전 순이익,"61,159,958,000,000"
2018-12-31,당기순이익,"44,344,857,000,000"
2019-03-31,유동자산,"177,388,524,000,000"
2019-03-31,비유동자산,"167,679,359,000,000"
2019-03-31,자산총계,"345,067,883,000,000"
2019-03-31,유동부채,"67,354,091,000,000"
2019-03-31,비유동부채,"24,498,641,000,000"
2019-03-31,부채총계,"91,852,732,000,000"
2019-03-31,자본금,"897,514,000,000"
2019-03-31,이익잉여금,"245,401,018,000,000"
2019-03-31,자본총계,"253,215,151,000,000"
2019-03-31,매출액,"52,385,546,000,000"
2019-03-31,영업이익,"6,233,282,000,000"
2019-03-31,법인세차감전 순이익,"6,912,978,000,000"
2019-03-31,당기순이익,"5,043,585,000,000"
2019-06-30,유동자산,"173,433,478,000,000"
2019-06-30,비유동자산,"169,506,656,000,000"
2019-06-30,자산총계,"342,940,134,000,000"
2019-06-30,유동부채,"59,309,271,000,000"
2019-06-30,비유동부채,"25,883,830,000,000"
2019-06-30,부채총계,"85,193,101,000,000"
2019-06-30,자본금,"897,514,000,000"
2019-06-30,이익잉여금,"248,060,958,000,000"
2019-06-30,자본총계,"257,747,033,000,000"
2019-06-30,매출액,"56,127,104,000,000"
2019-06-30,영업이익,"6,597,065,000,000"
2019-06-30,법인세차감전 순이익,"7,179,364,000,000"
2019-06-30,당기순이익,"5,180,576,000,000"
2019-09-30,유동자산,"186,042,134,000,000"
2019-09-30,비유동자산,"167,343,851,000,000"
2019-09-30,자산총계,"353,385,985,000,000"
2019-09-30,유동부채,"63,303,192,000,000"
2019-09-30,비유동부채,"26,640,549,000,000"
2019-09-30,부채총계,"89,943,741,000,000"
2019-09-30,자본금,"897,514,000,000"
2019-09-30,이익잉여금,"251,761,348,000,000"
2019-09-30,자본총계,"263,442,244,000,000"
2019-09-30,매출액,"62,003,471,000,000"
2019-09-30,영업이익,"7,777,892,000,000"
2019-09-30,법인세차감전 순이익,"8,620,728,000,000"
2019-09-30,당기순이익,"6,287,664,000,000"
2019-12-31,유동자산,"181,385,260,000,000"
2019-12-31,비유동자산,"171,179,237,000,000"
2019-12-31,자산총계,"352,564,497,000,000"
2019-12-31,유동부채,"63,782,764,000,000"
2019-12-31,비유동부채,"25,901,312,000,000"
2019-12-31,부채총계,"89,684,076,000,000"
2019-12-31,자본금,"897,514,000,000"
2019-12-31,이익잉여금,"254,582,894,000,000"
2019-12-31,자본총계,"262,880,421,000,000"
2019-12-31,매출액,"230,400,881,000,000"
2019-12-31,영업이익,"27,768,509,000,000"
2019-12-31,법인세차감전 순이익,"30,432,189,000,000"
2019-12-31,당기순이익,"21,738,865,000,000"
2020-03-31,유동자산,"186,739,748,000,000"
2020-03-31,비유동자산,"170,717,787,000,000"
2020-03-31,자산총계,"357,457,535,000,000"
2020-03-31,유동부채,"64,763,290,000,000"
2020-03-31,비유동부채,"26,306,522,000,000"
2020-03-31,부채총계,"91,069,812,000,000"
2020-03-31,자본금,"897,514,000,000"
2020-03-31,이익잉여금,"257,078,919,000,000"
2020-03-31,자본총계,"266,387,723,000,000"
2020-03-31,매출액,"55,325,178,000,000"
2020-03-31,영업이익,"6,447,345,000,000"
2020-03-31,법인세차감전 순이익,"6,756,852,000,000"
2020-03-31,당기순이익,"4,884,926,000,000"
2020-06-30,유동자산,"186,136,845,000,000"
2020-06-30,비유동자산,"171,822,654,000,000"
2020-06-30,자산총계,"357,959,499,000,000"
2020-06-30,유동부채,"61,863,721,000,000"
2020-06-30,비유동부채,"26,287,961,000,000"
2020-06-30,부채총계,"88,151,682,000,000"
2020-06-30,자본금,"897,514,000,000"
2020-06-30,이익잉여금,"260,165,053,000,000"
2020-06-30,자본총계,"269,807,817,000,000"
2020-06-30,매출액,"52,966,142,000,000"
2020-06-30,영업이익,"8,146,292,000,000"
2020-06-30,법인세차감전 순이익,"7,769,697,000,000"
2020-06-30,당기순이익,"5,555,083,000,000"
2020-09-30,유동자산,"203,634,913,000,000"
2020-09-30,비유동자산,"172,153,829,000,000"
2020-09-30,자산총계,"375,788,742,000,000"
2020-09-30,유동부채,"73,046,405,000,000"
2020-09-30,비유동부채,"26,606,149,000,000"
2020-09-30,부채총계,"99,652,554,000,000"
2020-09-30,자본금,"897,514,000,000"
2020-09-30,이익잉여금,"267,024,912,000,000"
2020-09-30,자본총계,"276,136,188,000,000"
2020-09-30,매출액,"66,964,160,000,000"
2020-09-30,영업이익,"12,353,238,000,000"
2020-09-30,법인세차감전 순이익,"12,844,106,000,000"
2020-09-30,당기순이익,"9,360,693,000,000"
2020-12-31,유동자산,"198,215,579,000,000"
2020-12-31,비유동자산,"180,020,139,000,000"
2020-12-31,자산총계,"378,235,718,000,000"
2020-12-31,유동부채,"75,604,351,000,000"
2020-12-31,비유동부채,"26,683,351,000,000"
2020-12-31,부채총계,"102,287,702,000,000"
2020-12-31,자본금,"897,514,000,000"
2020-12-31,이익잉여금,"271,068,211,000,000"
2020-12-31,자본총계,"275,948,016,000,000"
2020-12-31,매출액,"236,806,988,000,000"
2020-12-31,영업이익,"35,993,876,000,000"
2020-12-31,법인세차감전 순이익,"36,345,117,000,000"
2020-12-31,당기순이익,"26,407,832,000,000"
